"--- Longitude / Latitude ---", 0, 0, 0, 0., 0., 0., 0., 0., 0., 0., 0.
"Longitude / Latitude", 1, 0
"Longitude / Latitude (Adindan)\p4201", 1, 1
"Longitude / Latitude (Afgooye)\p4205", 1, 2 
"Longitude / Latitude (AGD 66)\p4202", 1, 12
"Longitude / Latitude (AGD 84)\p4203", 1, 13
"Longitude / Latitude (Ain el Abd 1970)\p4204", 1, 3
"Longitude / Latitude (Anna 1 Astro 1965)\p37231", 1, 4
"Longitude / Latitude (Arc 1950)\p4209", 1, 5
"Longitude / Latitude (Arc 1960)\p4210", 1, 6
"Longitude / Latitude (Ascension Island 1958)\p4712", 1, 7
"Longitude / Latitude (Astro Beacon E)\p37212", 1, 8
"Longitude / Latitude (Astro B4 Sorol Atoll)", 1, 9
"Longitude / Latitude (Astro DOS 71/4)\p37238", 1, 10
"Longitude / Latitude (Astronomic Station 1952)", 1, 11
"Longitude / Latitude (Belgium)", 1, 110
"Longitude / Latitude (Bellevue)\p37215", 1, 14
"Longitude / Latitude (Bermuda 1957)\p4216", 1, 15
"Longitude / Latitude (Bogota Observatory)\p4218", 1, 16
"Longitude / Latitude (Campo Inchauspe)\p4221", 1, 17
"Longitude / Latitude (Canton Astro 1966)\p37216", 1, 18
"Longitude / Latitude (Cape)\p4222", 1, 19
"Longitude / Latitude (Cape Canaveral)\p37239", 1, 20
"Longitude / Latitude (Carthage)\p4223", 1, 21
"Longitude / Latitude (CH 1903)\p4217", 1, 1003
"Longitude / Latitude (Chatham 1971)\p37217", 1, 22
"Longitude / Latitude (Chua Astro)\p4224", 1, 23
"Longitude / Latitude (Corrego Alegre)\p4225", 1, 24
"Longitude / Latitude (DHDN)\p4314", 1, 1000
"Longitude / Latitude (DLx)\p4207", 1, 113
"Longitude / Latitude (DOS 1968)\p37218", 1, 26
"Longitude / Latitude (D73)\p4274", 1, 114
"Longitude / Latitude (Easter Island 1967)\p37219", 1, 27
"Longitude / Latitude (ED 50)\p4230", 1, 28
