"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","GCS_COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","GREENWICH_DATUM","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","SHOW_CRS","DEPRECATED","COORD_SYS_CODE","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
4001,Unknown datum based upon the Airy 1830 ellipsoid,GCS_Unknown_datum_based_upon_the_Airy_1830_ellipsoid,6001,"Not specified (based on Airy 1830 ellipsoid)",6001,9122,7001,8901,0,0,6422,,,,,,,,
4002,Unknown datum based upon the Airy Modified 1849 ellipsoid,GCS_Unknown_datum_based_upon_the_Airy_Modified_1849_ellipsoid,6002,"Not specified (based on Airy Modified 1849 ellipsoid)",6002,9122,7002,8901,0,0,6422,,,,,,,,
4003,Unknown datum based upon the Australian National Spheroid,GCS_Unknown_datum_based_upon_the_Australian_National_Spheroid,6003,"Not specified (based on Australian National Spheroid)",6003,9122,7003,8901,0,0,6422,,,,,,,,
4004,Unknown datum based upon the Bessel 1841 ellipsoid,GCS_Unknown_datum_based_upon_the_Bessel_1841_ellipsoid,6004,"Not specified (based on Bessel 1841 ellipsoid)",6004,9122,7004,8901,0,0,6422,,,,,,,,
4005,Unknown datum based upon the Bessel Modified ellipsoid,GCS_Unknown_datum_based_upon_the_Bessel_Modified_ellipsoid,6005,"Not specified (based on Bessel Modified ellipsoid)",6005,9122,7005,8901,0,0,6422,,,,,,,,
4006,Unknown datum based upon the Bessel Namibia ellipsoid,GCS_Unknown_datum_based_upon_the_Bessel_Namibia_ellipsoid,6006,"Not specified (based on Bessel Namibia ellipsoid)",6006,9122,7046,8901,0,0,6422,,,,,,,,
4007,Unknown datum based upon the Clarke 1858 ellipsoid,GCS_Unknown_datum_based_upon_the_Clarke_1858_ellipsoid,6007,"Not specified (based on Clarke 1858 ellipsoid)",6007,9122,7007,8901,0,0,6422,,,,,,,,
4008,Unknown datum based upon the Clarke 1866 ellipsoid,GCS_Unknown_datum_based_upon_the_Clarke_1866_ellipsoid,6008,"Not specified (based on Clarke 1866 ellipsoid)",6008,9122,7008,8901,0,0,6422,,,,,,,,
4009,Unknown datum based upon the Clarke 1866 Michigan ellipsoid,GCS_Unknown_datum_based_upon_the_Clarke_1866_Michigan_ellipsoid,6009,"Not specified (based on Clarke 1866 Michigan ellipsoid)",6009,9122,7009,8901,0,0,6422,,,,,,,,
4010,"Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid","GCS_Unknown_datum_based_upon_the_Clarke_1880_(Benoit)_ellipsoid",6010,"Not specified (based on Clarke 1880 (Benoit) ellipsoid)",6010,9122,7010,8901,0,0,6422,,,,,,,,
4011,"Unknown datum based upon the Clarke 1880 (IGN) ellipsoid","GCS_Unknown_datum_based_upon_the_Clarke_1880_(IGN)_ellipsoid",6011,"Not specified (based on Clarke 1880 (IGN) ellipsoid)",6011,9122,7011,8901,0,0,6422,,,,,,,,
4012,Unknown datum based upon the Clarke 1880 (RGS) ellipsoid,GCS_Unknown_datum_based_upon_the_Clarke_1880_(RGS)_ellipsoid,6012,"Not specified (based on Clarke 1880 (RGS) ellipsoid)",6012,9122,7012,8901,0,0,6422,,,,,,,,
4012,GCS_Clarke_1880_RGS,GCS_Unknown_datum_based_upon_the_Clarke_1880_(RGS)_ellipsoid,6012,"Not specified (based on Clarke 1880 (RGS) ellipsoid)",6012,9122,7012,8901,0,0,6422,,,,,,,,
4013,"Unknown datum based upon the Clarke 1880 (Arc) ellipsoid","GCS_Unknown_datum_based_upon_the_Clarke_1880_(Arc)_ellipsoid",6013,"Not specified (based on Clarke 1880 (Arc) ellipsoid)",6013,9122,7013,8901,0,0,6422,,,,,,,,
4014,"Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid","GCS_Unknown_datum_based_upon_the_Clarke_1880_(SGA_1922)_ellipsoid",6014,"Not specified (based on Clarke 1880 (SGA 1922) ellipsoid)",6014,9122,7014,8901,0,0,6422,,,,,,,,
4015,"Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid","GCS_Unknown_datum_based_upon_the_Everest_1830_(1937_Adjustment)_ellipsoid",6015,"Not specified (based on Everest 1830 (1937 Adjustment) ellipsoid)",6015,9122,7015,8901,0,0,6422,,,,,,,,
4016,"Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid","GCS_Unknown_datum_based_upon_the_Everest_1830_(1967_Definition)_ellipsoid",6016,"Not specified (based on Everest 1830 (1967 Definition) ellipsoid)",6016,9122,7016,8901,0,0,6422,,,,,,,,
4018,Unknown datum based upon the Everest 1830 Modified ellipsoid,GCS_Unknown_datum_based_upon_the_Everest_1830_Modified_ellipsoid,6018,"Not specified (based on Everest 1830 Modified ellipsoid)",6018,9122,7018,8901,0,0,6422,,,,,,,,
4019,Unknown datum based upon the GRS 1980 ellipsoid,GCS_Unknown_datum_based_upon_the_GRS_1980_ellipsoid,6019,"Not specified (based on GRS 1980 ellipsoid)",6019,9122,7019,8901,0,0,6422,,,,,,,,
4020,Unknown datum based upon the Helmert 1906 ellipsoid,GCS_Unknown_datum_based_upon_the_Helmert_1906_ellipsoid,6020,"Not specified (based on Helmert 1906 ellipsoid)",6020,9122,7020,8901,0,0,6422,,,,,,,,
4021,Unknown datum based upon the Indonesian National Spheroid,GCS_Unknown_datum_based_upon_the_Indonesian_National_Spheroid,6021,"Not specified (based on Indonesian National Spheroid)",6021,9122,7021,8901,0,0,6422,,,,,,,,
4022,Unknown datum based upon the International 1924 ellipsoid,GCS_Unknown_datum_based_upon_the_International_1924_ellipsoid,6022,"Not specified (based on International 1924 ellipsoid)",6022,9122,7022,8901,0,0,6422,,,,,,,,
4024,Unknown datum based upon the Krassowsky 1940 ellipsoid,GCS_Unknown_datum_based_upon_the_Krasowsky_1940_ellipsoid,6024,"Not specified (based on Krasowsky 1940 ellipsoid)",6024,9122,7024,8901,0,0,6422,,,,,,,,
4024,GCS_Krassowsky_1940,D_Krassowsky_1940,6024,Krasovsky_1940,7024,9122,7022,8901,1,0,6422,,,,,,,,
4025,Unknown datum based upon the NWL 9D ellipsoid,GCS_Unknown_datum_based_upon_the_NWL_9D_ellipsoid,6025,"Not specified (based on NWL 9D ellipsoid)",6025,9122,7025,8901,0,0,6422,,,,,,,,
4027,Unknown datum based upon the Plessis 1817 ellipsoid,GCS_Unknown_datum_based_upon_the_Plessis_1817_ellipsoid,6027,"Not specified (based on Plessis 1817 ellipsoid)",6027,9122,7027,8901,0,0,6422,,,,,,,,
4028,Unknown datum based upon the Struve 1860 ellipsoid,GCS_Unknown_datum_based_upon_the_Struve_1860_ellipsoid,6028,"Not specified (based on Struve 1860 ellipsoid)",6028,9122,7028,8901,0,0,6422,,,,,,,,
4029,Unknown datum based upon the War Office ellipsoid,GCS_Unknown_datum_based_upon_the_War_Office_ellipsoid,6029,"Not specified (based on War Office ellipsoid)",6029,9122,7029,8901,0,0,6422,,,,,,,,
4030,Unknown datum based upon the WGS 84 ellipsoid,GCS_Unknown_datum_based_upon_the_WGS_1984_ellipsoid,6030,"Not specified (based on WGS 84 ellipsoid)",6030,9122,7030,8901,0,0,6422,,,,,,,,
4030,MapInfo Generic Lat/Long,World_Geodetic_System_of_1984_GEM_10C,6030,"Not specified (based on WGS 84 ellipsoid)",6030,9122,7030,8901,0,0,6422,,,,,,,,
4031,Unknown datum based upon the GEM 10C ellipsoid,GCS_Unknown_datum_based_upon_the_GEM_10C_ellipsoid,6031,"Not specified (based on GEM 10C ellipsoid)",6031,9122,7031,8901,0,0,6422,,,,,,,,
4032,Unknown datum based upon the OSU86F ellipsoid,GCS_Unknown_datum_based_upon_the_OSU86F_ellipsoid,6032,"Not specified (based on OSU86F ellipsoid)",6032,9122,7032,8901,0,0,6422,,,,,,,,
4033,Unknown datum based upon the OSU91A ellipsoid,GCS_Unknown_datum_based_upon_the_OSU91A_ellipsoid,6033,"Not specified (based on OSU91A ellipsoid)",6033,9122,7033,8901,0,0,6422,,,,,,,,
4034,Unknown datum based upon the Clarke 1880 ellipsoid,GCS_Unknown_datum_based_upon_the_Clarke_1880_ellipsoid,6034,"Not specified (based on Clarke 1880 ellipsoid)",6034,9122,7034,8901,0,0,6422,,,,,,,,
4035,Unknown datum based upon the Authalic Sphere,GCS_Unknown_datum_based_upon_the_Authalic_Sphere,6035,"Not specified (based on Authalic Sphere)",6035,9108,7035,8901,0,1,6402,,,,,,,,
4036,Unknown datum based upon the GRS 1967 ellipsoid,GCS_Unknown_datum_based_upon_the_GRS_1967_ellipsoid,6036,"Not specified (based on GRS 1967 ellipsoid)",6036,9122,7036,8901,0,0,6422,,,,,,,,
4041,Unknown datum based upon the Average Terrestrial System 1977 ellipsoid,GCS_Unknown_datum_based_upon_the_Average_Terrestrial_System_1977_ellipsoid,6041,"Not specified (based on Average Terrestrial System 1977 ellipsoid)",6041,9122,7041,8901,0,0,6422,,,,,,,,
4042,"Unknown datum based upon the Everest (1830 Definition) ellipsoid","GCS_Unknown_datum_based_upon_the_Everest_(1830_Definition)_ellipsoid",6042,"Not specified (based on Everest (1830 Definition) ellipsoid)",6042,9122,7042,8901,0,0,6422,,,,,,,,
4043,Unknown datum based upon the WGS 72 ellipsoid,GCS_Unknown_datum_based_upon_the_WGS_72_ellipsoid,6043,"Not specified (based on WGS 72 ellipsoid)",6043,9122,7043,8901,0,0,6422,,,,,,,,
4044,"Unknown datum based upon the Everest 1830 (1962 Definition) ellipsoid","GCS_Unknown_datum_based_upon_the_Everest_1830_(1962_Definition)_ellipsoid",6044,"Not specified (based on Everest 1830 (1962 Definition) ellipsoid)",6044,9122,7044,8901,0,0,6422,,,,,,,,
