2019-11-29 15:29:18 [error] Failed to load the dynamic library C:\Users\Administrator\Desktop\iearth历代版本\V1\SuFileParserGDAL.fps, ThreadID: 12840, Timespan(ms): 15, ResourceID: IMd011, SourceCode: ..\..\..\Src\FileParser\UGFileParseManager.cpp(344)
2019-11-29 15:30:56 [error] Can not to connect the serverHTTP Status Code 0C:/Users/Administrator/Desktop/1118/临时/tilesetS3MB.scp/spatiallicense.xml, ThreadID: 12840, Timespan(ms): 98094, ResourceID: EJc005, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(1708)
2019-11-29 15:30:56 [error] Failed to get file from web, ThreadID: 12840, Timespan(ms): 0, ResourceID: EAg034, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(864)
2019-11-29 18:05:18 [error] Can not to connect the serverHTTP Status Code 0S:/张亚军/xinghai_TIN_10正式/xinghai_TIN_10正式.sct/spatiallicense.xml, ThreadID: 12840, Timespan(ms): 9261920, ResourceID: EJc005, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(1708)
2019-11-29 18:05:18 [error] Failed to get file from web, ThreadID: 12840, Timespan(ms): 0, ResourceID: EAg034, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(864)
9-11-29 15:29:18 [error] Failed to load the dynamic library C:\Users\Administrator\Desktop\iearth历代版本\V1\SuFileParserGDAL.fps, ThreadID: 12840, Timespan(ms): 15, ResourceID: IMd011, SourceCode: ..\..\..\Src\FileParser\UGFileParseManager.cpp(344)
2019-11-29 15:30:56 [error] Can not to connect the serverHTTP Status Code 0C:/Users/Administrator/Desktop/1118/临时/tilesetS3MB.scp/spatiallicense.xml, ThreadID: 12840, Timespan(ms): 98094, ResourceID: EJc005, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(1708)
2019-11-29 15:30:56 [error] Failed to get file from web, ThreadID: 12840, Timespan(ms): 0, ResourceID: EAg034, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(864)
2019-11-29 18:05:18 [error] Can not to connect the serverHTTP Status Code 0S:/张亚军/xinghai_TIN_10正式/xinghai_TIN_10正式.sct/spatiallicense.xml, ThreadID: 12840, Timespan(ms): 9261920, ResourceID: EJc005, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(1708)
2019-11-29 18:05:18 [error] Failed to get file from web, ThreadID: 12840, Timespan(ms): 0, ResourceID: EAg034, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(864)
2019-11-29 18:07:18 [error] Failed to load the dynamic library C:\Users\Administrator\Desktop\iearth历代版本\V1\SuFileParserGDAL.fps, ThreadID: 4788, Timespan(ms): 0, ResourceID: IMd011, SourceCode: ..\..\..\Src\FileParser\UGFileParseManager.cpp(344)
2019-11-29 18:07:40 [error] Can not to connect the serverHTTP Status Code 0E:/data/倾斜数据/带投影/Config.scp/spatiallicense.xml, ThreadID: 4788, Timespan(ms): 22355, ResourceID: EJc005, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(1708)
2019-11-29 18:07:40 [error] Failed to get file from web, ThreadID: 4788, Timespan(ms): 0, ResourceID: EAg034, SourceCode: ..\..\..\Src\NetToolkit\UGHttpHelper.cpp(864)
2019-11-29 18:47:37 [error] No enough disk space for caches, ThreadID: 4788, Timespan(ms): 2397454, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2019-11-29 18:47:52 [error] No enough disk space for caches, ThreadID: 4788, Timespan(ms): 14243, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2019-11-29 18:47:54 [error] No enough disk space for caches, ThreadID: 4788, Timespan(ms): 2605, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
