TYPE,Name,UGCode,MICode,Datum,Units,"Origin, Longitude","Origin, Latitude",Standard Parallel 1,Standard Parallel 2,Azimuth,Scale Factor,False Easting,False Northing,Range
P,Albers Equal-Area Conic,43007,9,X,X,X,X,X,X,n/a,n/a,X,X,n/a
P,Azimuthal Equidistant (all origin latitudes),43032,28,X,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,X
P,Azimuthal Equidistant (polar aspect only),43032,5,X,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,X
P,Cassini-Soldner,43028,30,X,X,X,X,n/a,n/a,n/a,n/a,X,X,n/a
P,Cylindrical Equal-Area,43041,2,X,X,X,n/a,X,n/a,n/a,n/a,n/a,n/a,n/a
P,Eckert IV,43012,14,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Eckert VI,43010,15,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Equidistant Conic (also known as Simple Conic),43027,6,X,X,X,X,X,X,n/a,n/a,X,X,n/a
P,Gall,43016,17,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Hotine Oblique Mercator,43044,7,X,X,X,X,n/a,n/a,X,X,X,X,n/a
P,Lambert Azimuthal Equal-Area (polar aspect only),43033,4,X,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,X
P,Lambert Azimuthal Equal-Area,43033,29,X,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,X
P,Lambert Conformal Conic,43020,3,X,X,X,X,X,X,n/a,n/a,X,X,n/a
P,Lambert Conformal Conic (modified for Belgium 1972),43020,19,X,X,X,X,X,X,n/a,n/a,X,X,n/a
P,Longitude/Latitude,43000,1,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Mercator,43004,10,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Miller Cylindrical,43003,11,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Mollweide,43009,13,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Polyconic,43021,27,X,X,X,X,n/a,n/a,n/a,n/a,X,X,n/a
P,Robinson,43030,12,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Sinusoidal,43008,16,X,X,X,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
P,Stereographic,43026,20,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (also known as Gauss-Kruger),43006,8,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Gauss-Kruger,43005,8,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (modified for Danish System 34 Jylland-Fyn),43006,21,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (modified for Danish System 34 Sjaelland),43006,22,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (modified for Danish System 34/45 Bornholm),43006,23,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
P,Transverse Mercator (modified for Finnish KKJ),43006,24,X,X,X,X,n/a,n/a,n/a,X,X,X,n/a
TYPE,Name,UGCode,MICode,Ellipsoid,,,,,,,,,,
D,Adindan,6201,1,Clarke 1880,,,,,,,,,,
D,Afgooye,6205,2,Krassovsky,,,,,,,,,,
D,Krassovsky,6024,1001,Krassovsky 1940,,,,,,,,,,
D,AGD 66 (7 parameter),6202,1007,Australian National,,,,,,,,,,
D,AGD 66 (7 parameter),6202,1008,Australian National,,,,,,,,,,
D,AGD 66 (7 parameter),6202,1009,Australian National,,,,,,,,,,
D,AGD 84 (7 parameter),6203,1006,Australian National,,,,,,,,,,
D,Ain el Abd 1970,6204,3,International,,,,,,,,,,
D,American Samoa,39252,118,Clarke 1866,,,,,,,,,,
D,Anna 1 Astro 1965,39231,4,Australian National,,,,,,,,,,
D,Antigua Island Astro 1943,39236,119,Clarke 1880,,,,,,,,,,
D,Arc 1950,6209,5,Clarke 1880,,,,,,,,,,
D,Arc 1960,6210,6,Clarke 1880,,,,,,,,,,
D,Ascension Island 1958,39237,7,International,,,,,,,,,,
D,"Astro Beacon ""E""",39212,8,International,,,,,,,,,,
D,Astro DOS 71/4,39238,10,International,,,,,,,,,,
D,Astronomic Station 1952,39214,11,International,,,,,,,,,,
D,Australian Geodetic 1966 (AGD 66),6202,12,Australian National,,,,,,,,,,
D,Australian Geodetic 1984 (AGD 84),6203,13,Australian National,,,,,,,,,,
D,Ayabelle Lighthouse,39208,120,Clarke 1880,,,,,,,,,,
D,Bellevue (IGN),39215,14,International,,,,,,,,,,
D,Bermuda 1957,6216,15,Clarke 1866,,,,,,,,,,
